country,total_national_million_liters_per_year,beer_cans_a_year,fl_oz_per_second,liters_per_year_per_capita,fl_oz_per_year_per_capita
Czech Republic,1498,4221121384,133.850881,140,394.4973256
Austria,949,2674128300,84.79605213,107.8,303.7629407
Romania,1956,5511691206,174.7745816,100.3,282.6291554
Germany,8160,22993558406,729.120954,99,278.965966
Poland,3713,10462632643,331.7679047,97.7,275.3027765
Namibia,248,698823833.9,22.15955841,95.5,269.1035328
Ireland,446,1256755766,39.85146391,92.9,261.7771539
Spain,4119,11606674887,368.0452463,88.8,250.224018
Croatia,351,989061152,31.36292339,85.5,240.9251524
Latvia,155,436764896.2,13.849724,81.4,229.3720165
Estonia,105,295872994.2,9.3820711,80.5,226.8359622
Slovenia,168,473396790.7,15.01131376,80,225.4270432
Netherlands,1357,3823806220,121.2520998,79.3,223.4545566
Bulgaria,551,1552628760,49.23353501,78.7,221.7638537
Panama,329,927068715.2,29.39715611,78.3,220.6367185
Slovakia,418,1177856301,37.34957828,76.1,214.4374748
Australia,1885,5311624705,168.4305145,75.1,211.6196368
Lithuania,216,608653016.6,19.30026055,74.4,209.6471502
Hungary,715,2014754199,63.88743654,73.7,207.6746635
United States,23920,67402685917,2137.32515,72.7,204.8568255
Finland,403,1135588730,36.00928241,72,202.8843389
Mexico,9324,26273521885,833.1279137,70.5,198.6575818
Great Britain,4712,13277652844,421.0316097,70.3,198.0940142
Bosnia and Herzegovina,240,676281129.6,21.44473394,68.6,193.3036895
Gabon,141,397315163.6,12.59878119,67,188.7951487
Belgium,765,2155646101,68.35508944,65.9,185.6955268
New Zealand,293,825626545.7,26.18044602,61,171.8881204
South Africa,3447,9713087724,307.9999912,60.1,169.3520662
Denmark,347,977789799.9,31.00551116,59.8,168.5067148
Cambodia,976,2750209927,87.2085847,59.2,166.816012
Brazil,12401,34944009534,1108.067273,58.4,164.5617415
Russia,8306,23404962760,742.1665005,57.7,162.5892549
Switzerland,474,1335655231,42.35334954,55.1,155.262876
Portugal,565,1592078493,50.48447782,54.9,154.6993084
DR Congo,302,850987088.1,26.98462354,54.8,154.4175246
Puerto Rico,203,572021122.1,18.13867079,54.8,154.4175246
Serbia,481,1355380097,42.97882094,54.7,154.1357408
Canada,1994,5618769052,178.1699978,53.5,150.7543351
Vietnam,,0,0,45.1,127.0844956
Laos,,0,0,41.4,116.6584949
South Korea,2022,5697668517,180.6718835,39.4,111.0228188
Japan,4869,13720053417,435.0600399,38.4,108.2049807
France,,0,0,33,92.98865532
Italy,,0,0,31,87.35297924
China,43266,121916580639,3865.949411,29,81.71730316
Thailand,,0,0,27,76.08162708
Taiwan,,0,0,23.2,65.37384253
Hong Kong,159,448036248.4,14.20713624,21.2,59.73816645
Singapore,,0,0,20.9,58.89281504
Israel,,0,0,17.4,49.0303819
Kenya,,0,0,12,33.81405648
Myanmar,,0,0,11.3,31.84156985
Uzbekistan,,0,0,11,30.99621844
Papua New Guinea,,0,0,10.9,30.71443464
Turkey,,0,0,10.9,30.71443464
Tanzania,,0,0,8,22.54270432
Uganda,,0,0,6,16.90702824
Malaysia,,0,0,5.8,16.34346063
Sri Lanka,50,140891902,4.467652905,2,5.63567608
India,,0,0,2,5.63567608
Indonesia,,0,0,0.7,1.972486628